[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | INFO: Run ParseTemplate Behavior [ RunTime:0.020496s ]
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020566s ]
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | INFO: Tag[ view_filter ] --START--
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | INFO: Run ContentReplace Behavior [ RunTime:0.000327s ]
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | INFO: Run TokenBuild Behavior [ RunTime:0.000267s ]
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000109s ]
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | INFO: Run ShowRuntime Behavior [ RunTime:0.000262s ]
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001071s ]
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | INFO: Tag[ view_end ] --START--
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000360s ]
[ 2017-05-28T19:00:34+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000407s ]
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | INFO: Tag[ route_check ] --START--
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | INFO: Run CheckRoute Behavior [ RunTime:0.000515s ]
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000577s ]
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | INFO: Tag[ app_begin ] --START--
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000325s ]
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000364s ]
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.002275s ]
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | SQL: SHOW COLUMNS FROM `czxy_subjectrace` [ RunTime:0.003448s ]
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | SQL: SELECT * FROM `czxy_subjectrace` WHERE ( `id` = 6 ) LIMIT 1   [ RunTime:0.000321s ]
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | SQL: SHOW COLUMNS FROM `czxy_racetostu` [ RunTime:0.002286s ]
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8] Use of undefined constant czxy_ - assumed 'czxy_' Db.class.php(660) : regexp code 第 1 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | SQL: SELECT a.sid sid,b.stuid stuid FROM czxy_racetostu a LEFT JOIN czxy_stu b ON b.id=a.sid WHERE ( a.rid = 6 )  [ RunTime:0.000386s ]
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | SQL: SHOW COLUMNS FROM `czxy_racetoimg` [ RunTime:0.002467s ]
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | SQL: SELECT `id`,`img` FROM `czxy_racetoimg` WHERE ( `rid` = 6 )  [ RunTime:0.000254s ]
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | SQL: SHOW COLUMNS FROM `czxy_departinfo` [ RunTime:0.002244s ]
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | SQL: SELECT `id`,`departname` FROM `czxy_departinfo`  [ RunTime:0.000272s ]
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | INFO: Tag[ view_template ] --START--
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | INFO: Run LocationTemplate Behavior [ RunTime:0.000287s ]
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000346s ]
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | INFO: Tag[ view_parse ] --START--
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-28T19:00:43+08:00 ] /JSJD/admin.php/Subjectrace/edit/id/6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
